catname,MJD,mag,magerr,cali,calierr,filter,stdstars,magnitude
SN2025FVW_V_001_250422_c.acat,60787.32042,-10.16921329,0.007090658,24.54696302,0.080308201,V,16,14.37774972
SN2025FVW_g_001_250422_c.acat,60787.32415,-10.0826807,0.007443625,24.75157848,0.038908498,g,43,14.66889778
SN2025FVW_r_001_250422_c.acat,60787.32774,-10.45475674,0.006264439,24.87863361,0.039950749,r,63,14.42387687
SN2025FVW_i_001_250422_c.acat,60787.33132,-9.263590813,0.011571428,24.13652654,0.040578802,i,57,14.87293572
SN2025FVW_B_001_250425_c.acat,60790.27719,-9.728453636,0.008609877,25.21185345,0.071325481,B,16,15.48339982
SN2025FVW_V_001_250425_c.acat,60790.28077,-10.80573845,0.005163674,25.34294641,0.074977709,V,16,14.53720797
SN2025FVW_g_001_250425_c.acat,60790.28451,-10.08451843,0.007334958,25.05894182,0.090730277,g,47,14.97442339
SN2025FVW_r_001_250425_c.acat,60790.28809,-10.77456951,0.005296438,25.23008762,0.076493481,r,64,14.45551811
SN2025FVW_i_001_250425_c.acat,60790.29167,-10.03499317,0.007655535,24.80006772,0.081569588,i,76,14.76507454
SN2025FVW_B_001_250428_c.acat,60793.75424,-8.312222481,0.017659118,24.18171165,0.069622273,B,17,15.86948917
SN2025FVW_V_001_250428_c.acat,60793.75715,-9.6567173,0.009035641,24.4186362,0.057873541,V,17,14.7619189
SN2025FVW_g_001_250428_c.acat,60793.76019,-9.07916832,0.012175821,24.38968822,0.046626278,g,46,15.3105199
SN2025FVW_r_001_250428_c.acat,60793.76308,-9.955765724,0.007897103,24.50131641,0.055404038,r,57,14.54555069
SN2025FVW_i_001_250428_c.acat,60793.76596,-9.415093422,0.01036135,24.1330524,0.054681002,i,59,14.71795898
